epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.55632,0.96814,2.35074,1.28617,0.58256,0.85,0.87795,0.63385,1.644,1.0301,1.37289,0,0,0
2,6.04466,1.25081,3.26664,1.64459,0.58424,0.85,0.84811,0.63026,1.67153,1.02392,1.38793,1.17822e-06,1.17822e-06,1.17822e-06
3,6.40016,1.35246,3.64109,1.61427,0.59035,0.85,0.85407,0.63396,1.68922,1.0156,1.3906,2.33288e-06,2.33288e-06,2.33288e-06
4,6.81728,1.02426,2.75629,1.27494,0.57692,0.85,0.85425,0.63555,1.68467,1.01277,1.38151,3.46397e-06,3.46397e-06,3.46397e-06
5,7.29559,1.33224,2.97713,1.62272,0.62219,0.9265,0.90685,0.64044,1.69448,1.01625,1.38032,4.5715e-06,4.5715e-06,4.5715e-06
6,7.78604,0.94574,2.26675,1.21877,0.56346,0.85,0.85658,0.63607,1.66824,1.01849,1.36478,5.65548e-06,5.65548e-06,5.65548e-06
7,8.25541,1.40832,3.84849,1.75595,0.54901,0.85,0.85776,0.62869,1.67999,1.02491,1.37001,6.71588e-06,6.71588e-06,6.71588e-06
8,8.72459,1.45369,3.9531,1.82048,0.5677,0.85258,0.8606,0.62928,1.70684,1.04225,1.38427,7.75273e-06,7.75273e-06,7.75273e-06
9,9.34472,1.36946,2.8431,1.47607,0.55982,0.86256,0.85933,0.62844,1.70407,1.05823,1.38032,8.76602e-06,8.76602e-06,8.76602e-06
10,9.80864,1.29508,2.4463,1.62192,0.56119,0.86451,0.85992,0.62839,1.69991,1.05178,1.3763,9.75574e-06,9.75574e-06,9.75574e-06
11,10.2961,1.12978,1.72275,1.37718,0.57511,0.85947,0.8541,0.62287,1.70479,1.06015,1.37919,1.07219e-05,1.07219e-05,1.07219e-05
12,10.7669,1.31719,2.74143,1.5235,0.58289,0.85839,0.85597,0.63181,1.70079,1.06827,1.37564,1.16645e-05,1.16645e-05,1.16645e-05
13,11.2323,1.0089,2.49703,1.36757,0.59482,0.85925,0.85601,0.63578,1.71194,1.0834,1.38145,1.25835e-05,1.25835e-05,1.25835e-05
14,11.6662,1.19371,2.12626,1.51051,0.59631,0.85752,0.88114,0.64098,1.71607,1.09692,1.38426,1.3479e-05,1.3479e-05,1.3479e-05
