epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4163,0.74151,1.9809,0.9184,0.0064,0.80357,0.44786,0.39547,0.65471,2.7828,0.80164,0.000545182,0.000545182,0.000545182
2,26.3188,0.65494,0.98144,0.87325,0.92141,0.49405,0.84576,0.59899,0.70744,1.37354,0.84544,0.00107905,0.00107905,0.00107905
3,38.5063,0.66467,0.85052,0.87304,0.98744,0.92054,0.97848,0.66929,0.70142,0.73689,0.83711,0.00159092,0.00159092,0.00159092
4,51.0098,0.62237,0.71806,0.87555,0.97375,0.90943,0.9744,0.69999,0.55773,0.52565,0.80838,0.00156798,0.00156798,0.00156798
5,63.6405,0.60564,0.63096,0.86861,0.90134,0.94048,0.96755,0.69945,0.61087,0.45449,0.82022,0.00153497,0.00153497,0.00153497
6,77.1497,0.58678,0.56276,0.85829,0.92047,0.91749,0.96507,0.70501,0.56075,0.43768,0.80739,0.00150197,0.00150197,0.00150197
7,90.349,0.57506,0.51414,0.85514,0.94279,0.92857,0.95848,0.66496,0.58434,0.4257,0.80867,0.00146896,0.00146896,0.00146896
8,102.777,0.55176,0.47373,0.85452,0.97708,0.95238,0.9794,0.69169,0.5521,0.37178,0.80242,0.00143595,0.00143595,0.00143595
9,114.901,0.52918,0.4385,0.8478,0.91,0.93452,0.93468,0.66008,0.55588,0.37185,0.80402,0.00140295,0.00140295,0.00140295
10,127.981,0.53744,0.42176,0.85225,0.95848,0.95833,0.97637,0.73356,0.5074,0.33947,0.79439,0.00136994,0.00136994,0.00136994
11,140.992,0.53404,0.40972,0.84474,0.99009,0.89881,0.97377,0.71414,0.52571,0.35402,0.80005,0.00133693,0.00133693,0.00133693
12,153.992,0.51724,0.39559,0.84316,0.95434,0.92262,0.97698,0.74237,0.50728,0.33345,0.79556,0.00130393,0.00130393,0.00130393
13,166.934,0.51209,0.38049,0.83855,0.93277,0.95543,0.96377,0.71949,0.48405,0.35477,0.78999,0.00127092,0.00127092,0.00127092
14,179.734,0.52455,0.37805,0.84588,0.97322,0.94643,0.98238,0.75333,0.51007,0.33381,0.79302,0.00123791,0.00123791,0.00123791
15,192.295,0.50541,0.36094,0.83832,0.9894,0.92121,0.98023,0.72974,0.51781,0.33851,0.79381,0.00120491,0.00120491,0.00120491
16,204.733,0.49234,0.34771,0.83711,0.91439,0.93079,0.96651,0.73379,0.47518,0.3201,0.78951,0.0011719,0.0011719,0.0011719
17,216.946,0.49143,0.34591,0.83419,0.95214,0.97619,0.98982,0.7412,0.50268,0.33265,0.79111,0.00113889,0.00113889,0.00113889
18,229.046,0.48795,0.34152,0.83593,0.97014,0.96286,0.98422,0.7248,0.53817,0.33882,0.79987,0.00110589,0.00110589,0.00110589
19,241.429,0.49097,0.33798,0.83901,0.97098,0.96652,0.98079,0.75238,0.46509,0.30602,0.78332,0.00107288,0.00107288,0.00107288
