epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7127,0.58209,0.3677,0.56288,0.74877,1.27172,0.96279,0.97619,0.99385,0.71131,0.96279,0.97619,0.99385,0.88289,1.00371,0.52042,0.29137,1.04334,1.40941,0.000654088,0.000654088,0.000654088
2,41.3175,0.29819,0.31418,0.45682,0.30138,1.02777,0.95443,0.9973,0.98521,0.9347,0.96018,1,0.99188,0.8625,0.35803,0.51708,0.19218,0.38454,0.64256,0.0012946,0.0012946,0.0012946
3,54.5869,0.27606,0.291,0.44533,0.28583,1.00461,0.9388,0.88095,0.97676,0.84074,0.91491,0.89603,0.97807,0.78383,0.66692,0.62961,0.16956,1.21589,1.08644,0.00190872,0.00190872,0.00190872
4,65.8243,0.2771,0.26161,0.40741,0.27946,0.99452,0.76054,0.97619,0.9363,0.72086,0.79652,1,0.97977,0.84038,0.5115,0.48489,0.17399,1.42387,0.8907,0.0018812,0.0018812,0.0018812
5,77.0187,0.24141,0.24084,0.41282,0.24841,0.98409,0.94159,1,0.97067,0.88672,0.94334,0.991,0.99166,0.91987,0.47675,0.35597,0.21988,0.51851,0.69727,0.0018416,0.0018416,0.0018416
6,88.2936,0.21758,0.22587,0.4021,0.23527,0.95595,0.99903,1,0.995,0.98876,0.99903,1,0.995,0.88939,0.27324,0.46372,0.18858,0.31565,0.41534,0.001802,0.001802,0.001802
7,99.5276,0.20183,0.23101,0.39484,0.22415,0.9527,0.99706,1,0.995,0.995,0.99706,1,0.995,0.89947,0.21978,0.44729,0.1695,0.27609,0.35671,0.0017624,0.0017624,0.0017624
8,110.778,0.19061,0.20635,0.37741,0.23136,0.94468,0.98662,1,0.99347,0.97491,0.98662,1,0.99476,0.92843,0.26828,0.33671,0.70234,0.3002,0.41744,0.0017228,0.0017228,0.0017228
9,121.931,0.18906,0.1897,0.37823,0.21974,0.9503,0.99923,1,0.995,0.97581,0.99923,1,0.995,0.91162,0.27935,0.33965,0.19511,0.29709,0.42367,0.0016832,0.0016832,0.0016832
10,134.965,0.1724,0.18382,0.36086,0.1972,0.93285,0.99936,1,0.995,0.98246,0.99936,1,0.995,0.93314,0.2625,0.32271,0.18522,0.26424,0.36977,0.0016436,0.0016436,0.0016436
