epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.157,1.88564,2.9035,3.22372,1.50805,0.00515,0.80128,0.32548,0.16162,0.00413,0.6424,0.2109,0.05161,1.5474,2.10832,3.15929,1.43528,0.000545182,0.000545182,0.000545182
2,46.4835,1.5744,2.28946,2.17252,1.26304,0.72154,0.50008,0.64003,0.31141,0.46627,0.2848,0.28212,0.06861,1.69239,2.56445,2.11929,1.49184,0.00107905,0.00107905,0.00107905
3,64.0038,1.59703,2.26284,1.86379,1.28223,0.69578,0.62373,0.68108,0.40122,0.40698,0.33385,0.27373,0.06724,1.56695,2.27076,1.71345,1.41575,0.00159092,0.00159092,0.00159092
4,80.2429,1.52517,2.22017,1.64992,1.25932,0.59815,0.6511,0.71148,0.42136,0.5161,0.50233,0.50662,0.17107,1.41892,1.7948,2.10874,1.32836,0.00156798,0.00156798,0.00156798
5,95.7116,1.47559,2.13092,1.49816,1.22214,0.67458,0.50564,0.57059,0.36347,0.57077,0.39652,0.39108,0.11918,1.57936,1.95027,1.93873,1.43424,0.00153497,0.00153497,0.00153497
6,111.052,1.45064,2.134,1.36811,1.21924,0.73546,0.69421,0.72876,0.45373,0.64226,0.45147,0.41511,0.126,1.40876,1.91609,1.29784,1.30073,0.00150197,0.00150197,0.00150197
7,126.417,1.40626,2.04883,1.26469,1.19914,0.78298,0.67353,0.75937,0.48693,0.64522,0.55586,0.53375,0.17834,1.35107,1.80595,1.32095,1.29103,0.00146896,0.00146896,0.00146896
8,141.551,1.41211,1.9964,1.20769,1.19268,0.85282,0.57419,0.77878,0.4475,0.68938,0.46881,0.46562,0.14431,1.52506,1.80508,1.22575,1.42467,0.00143595,0.00143595,0.00143595
9,156.599,1.39412,2.01285,1.18099,1.18733,0.8071,0.82362,0.88411,0.56453,0.56098,0.53307,0.46982,0.13301,1.36489,2.06548,0.99161,1.31491,0.00140295,0.00140295,0.00140295
10,172.488,1.36937,1.96098,1.11337,1.1767,0.89203,0.89789,0.95538,0.62348,0.69271,0.696,0.63927,0.20347,1.24846,1.57707,0.82604,1.25036,0.00136994,0.00136994,0.00136994
11,189.441,1.3025,1.93432,1.07245,1.15069,0.82551,0.79562,0.8743,0.53604,0.62954,0.61401,0.54204,0.16004,1.31428,1.72121,1.0317,1.30826,0.00133693,0.00133693,0.00133693
12,206.854,1.30306,1.90122,1.00979,1.13533,0.89696,0.80667,0.8869,0.59515,0.73224,0.65622,0.64182,0.22673,1.23359,1.67446,0.9155,1.19603,0.00130393,0.00130393,0.00130393
13,223.463,1.28257,1.91406,1.00384,1.13548,0.85911,0.78165,0.90529,0.57224,0.74871,0.67407,0.70672,0.22334,1.38057,1.58823,0.89002,1.27624,0.00127092,0.00127092,0.00127092
14,240.057,1.30025,1.93977,1.00782,1.14104,0.90868,0.90562,0.95962,0.64037,0.67637,0.66326,0.59549,0.17675,1.19,1.72313,0.74599,1.1954,0.00123791,0.00123791,0.00123791
15,256.79,1.29404,1.87658,0.98742,1.14285,0.88115,0.76894,0.84838,0.56354,0.70169,0.59524,0.56745,0.17196,1.31594,1.78319,0.97839,1.26618,0.00120491,0.00120491,0.00120491
16,273.857,1.22661,1.80859,0.93493,1.10758,0.82169,0.75088,0.85585,0.55316,0.69878,0.63324,0.64422,0.21803,1.35088,1.60721,0.96568,1.31909,0.0011719,0.0011719,0.0011719
17,290.56,1.229,1.8277,0.90765,1.10736,0.96739,0.95307,0.97405,0.65934,0.76563,0.74908,0.67325,0.2092,1.19642,1.58367,0.6562,1.16761,0.00113889,0.00113889,0.00113889
18,305.977,1.22806,1.82924,0.89826,1.11479,0.87844,0.81985,0.89333,0.60922,0.70015,0.64286,0.62103,0.22341,1.24453,1.58459,0.86524,1.23801,0.00110589,0.00110589,0.00110589
19,322.284,1.22357,1.85328,0.8868,1.09616,0.94107,0.92197,0.96298,0.66601,0.77998,0.76564,0.68018,0.2286,1.16266,1.5819,0.67807,1.15407,0.00107288,0.00107288,0.00107288
20,339.144,1.23209,1.80648,0.87558,1.09976,0.87108,0.91727,0.94693,0.62404,0.65389,0.67675,0.60554,0.20208,1.24586,1.65651,0.7654,1.19703,0.00103987,0.00103987,0.00103987
21,356.001,1.22786,1.83308,0.875,1.10167,0.91043,0.89454,0.94964,0.65387,0.6782,0.69643,0.61271,0.20114,1.20523,1.59188,0.73281,1.18574,0.00100687,0.00100687,0.00100687
22,373.115,1.1896,1.73355,0.83879,1.08557,0.90451,0.91886,0.95741,0.65014,0.74969,0.74222,0.6697,0.22144,1.17806,1.5493,0.71146,1.17107,0.000973861,0.000973861,0.000973861
23,390.521,1.20472,1.78688,0.86672,1.09736,0.91585,0.95145,0.96926,0.62239,0.74347,0.69952,0.66764,0.21918,1.30666,1.54808,0.68322,1.24018,0.000940855,0.000940855,0.000940855
24,408.207,1.15322,1.68508,0.81083,1.08881,0.84646,0.83734,0.9082,0.60651,0.72613,0.58717,0.61692,0.21438,1.20715,1.77208,0.79707,1.18815,0.000907848,0.000907848,0.000907848
25,426.121,1.1624,1.7079,0.79261,1.07877,0.97339,0.95055,0.98736,0.66853,0.81546,0.78505,0.77075,0.27289,1.1921,1.42484,0.61056,1.1678,0.000874842,0.000874842,0.000874842
26,443.487,1.17019,1.70152,0.80569,1.08223,0.95695,0.87134,0.96246,0.65039,0.79339,0.73031,0.72945,0.26819,1.20494,1.51697,0.68573,1.16716,0.000841835,0.000841835,0.000841835
27,461.204,1.16553,1.69703,0.79871,1.07497,0.92632,0.85177,0.93284,0.63608,0.79645,0.69139,0.71344,0.27047,1.20012,1.5041,0.82226,1.15433,0.000808828,0.000808828,0.000808828
28,480.141,1.18022,1.75658,0.81221,1.07866,0.83273,0.65489,0.76971,0.53872,0.7242,0.57529,0.59791,0.21316,1.20828,1.78668,1.23891,1.18732,0.000775822,0.000775822,0.000775822
